date,daily_kwh,maxtempC,mintempC,avgtempC,sunHour,uvIndex,humidity,windspeedKmph,pressure,winddirDegree,visibility,cloudcover,HeatIndexC,WindChillC,WindGustKmph,FeelsLikeC,month,month_day,week_day,season,is_weekend,is_holiday
2020-07-06,0.0,28.0,24.0,26.0,1.0,6.0,95.0,8.0,1002.0,195.0,7.0,90.0,30.0,26.0,19.0,30.0,7,6,0,3,0,0
2020-07-07,71.0,28.0,23.0,26.0,1.0,6.0,92.0,8.0,1005.0,225.0,6.0,81.0,29.0,26.0,20.0,29.0,7,7,1,3,0,0
2020-07-08,90.0,29.0,25.0,27.0,5.0,6.0,77.0,4.0,1004.0,204.0,8.0,76.0,30.0,27.0,12.0,30.0,7,8,2,3,0,0
2020-07-09,18.0,30.0,25.0,27.0,1.0,6.0,81.0,6.0,1000.0,121.0,8.0,87.0,30.0,27.0,13.0,30.0,7,9,3,3,0,0
2020-07-10,0.0,29.0,25.0,26.0,1.0,6.0,85.0,5.0,1001.0,154.0,9.0,78.0,30.0,26.0,13.0,30.0,7,10,4,3,0,0
2020-07-11,93.0,30.0,26.0,27.0,1.0,6.0,86.0,7.0,1005.0,176.0,10.0,84.0,31.0,27.0,12.0,31.0,7,11,5,3,1,0
2020-07-12,73.0,36.0,25.0,31.0,14.0,8.0,68.0,10.0,1004.0,194.0,10.0,32.0,36.0,31.0,17.0,36.0,7,12,6,3,1,0
2020-07-13,57.0,30.0,26.0,29.0,8.0,6.0,76.0,6.0,1006.0,114.0,10.0,60.0,33.0,29.0,17.0,33.0,7,13,0,3,0,0
2020-07-14,67.0,28.0,25.0,26.0,1.0,6.0,81.0,7.0,1007.0,38.0,10.0,98.0,29.0,26.0,12.0,29.0,7,14,1,3,0,0
2020-07-15,81.0,25.0,21.0,23.0,1.0,5.0,91.0,11.0,1006.0,60.0,8.0,99.0,26.0,23.0,21.0,26.0,7,15,2,3,0,0
2020-07-16,0.0,24.0,21.0,23.0,1.0,5.0,96.0,8.0,1005.0,55.0,6.0,100.0,26.0,23.0,19.0,26.0,7,16,3,3,0,0
2020-07-17,16.0,29.0,23.0,25.0,6.0,6.0,90.0,6.0,1005.0,92.0,8.0,85.0,28.0,25.0,10.0,28.0,7,17,4,3,0,0
2020-07-18,73.0,34.0,25.0,30.0,13.0,6.0,74.0,6.0,1004.0,205.0,10.0,56.0,35.0,30.0,11.0,35.0,7,18,5,3,1,0
2020-07-19,74.0,36.0,27.0,31.0,14.0,8.0,67.0,11.0,1002.0,175.0,10.0,35.0,37.0,31.0,17.0,37.0,7,19,6,3,1,0
2020-07-20,84.0,26.0,25.0,26.0,1.0,6.0,88.0,5.0,1008.0,56.0,9.0,84.0,29.0,26.0,13.0,29.0,7,20,0,3,0,0
2020-07-21,68.0,32.0,25.0,28.0,13.0,6.0,79.0,4.0,1010.0,165.0,10.0,66.0,33.0,28.0,9.0,33.0,7,21,1,3,0,0
2020-07-22,91.0,36.0,26.0,31.0,13.0,7.0,69.0,7.0,1007.0,180.0,10.0,34.0,37.0,31.0,11.0,37.0,7,22,2,3,0,0
2020-07-23,0.0,37.0,28.0,32.0,12.0,7.0,68.0,11.0,1005.0,155.0,10.0,49.0,39.0,32.0,20.0,39.0,7,23,3,3,0,0
2020-07-24,23.0,27.0,22.0,25.0,3.0,6.0,87.0,6.0,1007.0,141.0,7.0,83.0,28.0,25.0,13.0,28.0,7,24,4,3,0,0
2020-07-25,88.0,29.0,21.0,25.0,9.0,6.0,67.0,4.0,1007.0,141.0,10.0,59.0,27.0,25.0,7.0,27.0,7,25,5,3,1,0
2020-07-26,72.0,28.0,24.0,26.0,4.0,6.0,77.0,6.0,1005.0,101.0,10.0,64.0,29.0,26.0,10.0,29.0,7,26,6,3,1,0
2020-07-27,84.0,30.0,25.0,28.0,8.0,6.0,86.0,6.0,1003.0,224.0,10.0,71.0,32.0,28.0,12.0,32.0,7,27,0,3,0,0
2020-07-28,57.0,34.0,26.0,30.0,6.0,6.0,73.0,5.0,1007.0,210.0,9.0,63.0,36.0,30.0,11.0,36.0,7,28,1,3,0,0
2020-07-29,83.0,34.0,27.0,30.0,9.0,6.0,75.0,4.0,1008.0,181.0,9.0,73.0,36.0,30.0,7.0,36.0,7,29,2,3,0,0
2020-07-30,0.0,33.0,28.0,30.0,9.0,7.0,71.0,7.0,1010.0,165.0,10.0,50.0,36.0,30.0,15.0,36.0,7,30,3,3,0,0
2020-07-31,0.0,34.0,28.0,30.0,12.0,7.0,69.0,11.0,1009.0,160.0,10.0,47.0,36.0,30.0,19.0,36.0,7,31,4,3,0,0
2020-08-01,73.0,36.0,27.0,31.0,13.0,8.0,65.0,12.0,1008.0,177.0,10.0,14.0,37.0,31.0,19.0,37.0,8,1,5,3,1,0
2020-08-02,62.0,37.0,28.0,32.0,13.0,8.0,63.0,12.0,1006.0,177.0,10.0,2.0,37.0,32.0,20.0,37.0,8,2,6,3,1,0
2020-08-03,69.0,35.0,27.0,31.0,13.0,7.0,67.0,12.0,1005.0,142.0,10.0,24.0,36.0,31.0,21.0,36.0,8,3,0,3,0,0
2020-08-04,52.0,31.0,25.0,28.0,5.0,6.0,74.0,18.0,1001.0,132.0,9.0,77.0,32.0,28.0,33.0,32.0,8,4,1,3,0,0
2020-08-05,53.0,34.0,25.0,30.0,8.0,6.0,75.0,16.0,1006.0,183.0,8.0,52.0,35.0,30.0,27.0,35.0,8,5,2,3,0,0
2020-08-06,0.0,35.0,28.0,31.0,11.0,7.0,67.0,11.0,1007.0,205.0,10.0,50.0,36.0,31.0,18.0,36.0,8,6,3,3,0,0
2020-08-07,0.0,34.0,27.0,30.0,3.0,6.0,70.0,10.0,1006.0,210.0,9.0,62.0,35.0,30.0,19.0,35.0,8,7,4,3,0,0
2020-08-08,61.0,34.0,29.0,31.0,9.0,7.0,69.0,9.0,1003.0,215.0,10.0,63.0,36.0,31.0,18.0,36.0,8,8,5,3,1,0
2020-08-09,0.0,35.0,28.0,31.0,11.0,7.0,67.0,8.0,1001.0,207.0,10.0,51.0,37.0,31.0,17.0,37.0,8,9,6,3,1,0
2020-08-10,110.0,32.0,28.0,30.0,12.0,6.0,76.0,8.0,1002.0,219.0,10.0,61.0,35.0,30.0,15.0,35.0,8,10,0,3,0,0
2020-08-11,64.0,35.0,28.0,31.0,9.0,7.0,66.0,7.0,1005.0,152.0,10.0,58.0,37.0,31.0,14.0,37.0,8,11,1,3,0,0
2020-08-12,67.0,35.0,27.0,31.0,13.0,8.0,59.0,15.0,1008.0,202.0,10.0,28.0,35.0,31.0,24.0,35.0,8,12,2,3,0,0
2020-08-13,0.0,37.0,29.0,32.0,13.0,8.0,60.0,12.0,1008.0,206.0,10.0,17.0,38.0,32.0,19.0,38.0,8,13,3,3,0,0
2020-08-14,0.0,37.0,28.0,33.0,13.0,8.0,56.0,8.0,1007.0,189.0,10.0,12.0,38.0,33.0,14.0,38.0,8,14,4,3,0,0
2020-08-15,61.0,38.0,29.0,33.0,13.0,8.0,56.0,10.0,1006.0,169.0,10.0,7.0,38.0,33.0,18.0,38.0,8,15,5,3,1,0
2020-08-16,44.0,38.0,28.0,32.0,12.0,7.0,59.0,9.0,1007.0,164.0,10.0,9.0,38.0,32.0,15.0,38.0,8,16,6,3,1,0
2020-08-17,56.0,37.0,28.0,32.0,13.0,8.0,59.0,10.0,1009.0,160.0,10.0,2.0,37.0,32.0,19.0,37.0,8,17,0,3,0,0
2020-08-18,52.0,37.0,28.0,32.0,13.0,8.0,59.0,10.0,1010.0,150.0,10.0,7.0,37.0,32.0,19.0,37.0,8,18,1,3,0,0
2020-08-19,45.0,38.0,27.0,32.0,13.0,8.0,60.0,8.0,1009.0,152.0,10.0,7.0,38.0,32.0,16.0,38.0,8,19,2,3,0,0
2020-08-20,0.0,39.0,28.0,33.0,13.0,8.0,56.0,8.0,1009.0,153.0,10.0,4.0,37.0,33.0,16.0,37.0,8,20,3,3,0,0
2020-08-21,0.0,37.0,28.0,32.0,13.0,8.0,61.0,7.0,1010.0,143.0,10.0,12.0,37.0,32.0,19.0,37.0,8,21,4,3,0,0
2020-08-22,56.0,34.0,27.0,30.0,8.0,7.0,72.0,7.0,1009.0,145.0,10.0,47.0,36.0,30.0,18.0,36.0,8,22,5,3,1,0
2020-08-23,41.0,36.0,27.0,31.0,13.0,8.0,65.0,7.0,1005.0,126.0,10.0,11.0,36.0,31.0,17.0,36.0,8,23,6,3,1,0
2020-08-24,53.0,37.0,26.0,31.0,13.0,7.0,62.0,6.0,1002.0,122.0,10.0,29.0,36.0,31.0,13.0,36.0,8,24,0,3,0,0
2020-08-25,49.0,36.0,28.0,31.0,9.0,7.0,65.0,10.0,1001.0,276.0,10.0,43.0,37.0,31.0,19.0,37.0,8,25,1,3,0,0
