equip_id,n_rows,best_n_train,best_n_test,best_R2_train,best_CVRMSE,best_NMBE,best_alpha,best_l1_ratio,best_n_features,best_R2,best_period,R2_H1→H2 2025,R2_8mo→5mo,R2_Apr-Sep→Oct-Feb
60bde096b9cd13094ca6a7c8df6af63870ea5c2269a288f9c5,400,180.0,127.0,0.0,40.2,3.4,1000.0,0.1,0.0,-0.0071,Apr-Sep→Oct-Feb,-0.0174,-0.0197,-0.0071
60ee639d12235d49655ffb17a54686b3f42ec3a17e72c65bcf,400,239.0,157.0,0.0722,34.2,-0.8,1.526418,0.9,3.0,0.0022,8mo→5mo,-0.0031,0.0022,-0.0082
66da2c375055c32c360cac42fa3f720c37c7d902a1915f4573,400,242.0,157.0,0.8402,41.1,-4.6,0.001,0.1,21.0,0.0814,8mo→5mo,-0.1286,0.0814,-7.5902
695f49b84fe94bdf7bb0627e155607689cf66229845c020db0,400,242.0,157.0,0.8052,35.6,-18.4,0.494171,0.1,21.0,-0.0269,8mo→5mo,-0.5205,-0.0269,-0.249
6a74cb0a060b0cfe95452513df0cc57923ffdf13917be5264b,400,238.0,157.0,0.3946,39.8,-4.0,0.159986,0.1,20.0,-0.0324,8mo→5mo,-0.0974,-0.0324,-0.0616
6eb4193f9bb2be5b81ce0d152e9a09080c6c469077c226a4ad,400,180.0,127.0,0.7648,11.2,-4.4,1.526418,0.9,13.0,0.4319,Apr-Sep→Oct-Feb,-0.1607,-0.3501,0.4319
71513a88dc95ea941e861139bcd99f819f5ff4537f121a8cac,400,181.0,184.0,0.5015,68.9,-57.2,1.151395,0.1,20.0,-0.3783,H1→H2 2025,-0.3783,-0.4846,-2.3877
73dc7c95dd74bf0c9aaa5e88bfe777ef05b0c86a8614fe287c,400,177.0,184.0,0.0,8.5,-0.7,1000.0,0.1,0.0,-0.0069,H1→H2 2025,-0.0069,-0.1311,-0.4853
7585f9e8b64aa15a4909812dd312d55ad806ed145fd3d1bd93,400,222.0,157.0,0.4996,66.0,-39.2,0.655129,0.9,9.0,0.0506,8mo→5mo,-0.0571,0.0506,-0.7042
7a4acc0a7203fef13ac1c326b364ca7d61dfbce5167b1d9f95,400,180.0,127.0,0.7648,25.1,-2.4,1.526418,0.9,12.0,0.1417,Apr-Sep→Oct-Feb,-0.0308,-0.0736,0.1417
