date,daily_kwh,maxtempC,mintempC,avgtempC,humidity,sunHour,uvIndex,windspeedKmph,pressure,winddirDegree,visibility,cloudcover,HeatIndexC,WindChillC,WindGustKmph,FeelsLikeC,month,month_day,week_day,season,is_weekend,is_holiday
2025-01-01,38.4577,12.0,2.0,7.0,61.0,11.0,3.0,9.0,1024.0,108.0,10.0,3.0,7.0,5.0,13.0,5.0,1,1,2,1,0,1
2025-01-02,37.7056,14.0,5.0,9.0,65.0,11.0,2.0,8.0,1025.0,58.0,10.0,13.0,9.0,7.0,13.0,7.0,1,2,3,1,0,0
2025-01-03,37.9024,12.0,3.0,7.0,60.0,10.0,2.0,10.0,1028.0,75.0,10.0,14.0,7.0,5.0,15.0,5.0,1,3,4,1,0,0
2025-01-04,39.3402,12.0,3.0,7.0,56.0,11.0,3.0,11.0,1027.0,111.0,10.0,35.0,7.0,5.0,16.0,5.0,1,4,5,1,1,0
2025-01-05,39.4917,14.0,6.0,9.0,61.0,9.0,2.0,10.0,1023.0,269.0,10.0,40.0,9.0,8.0,15.0,8.0,1,5,6,1,1,0
2025-01-06,38.7561,12.0,4.0,8.0,45.0,11.0,3.0,13.0,1025.0,226.0,10.0,0.0,8.0,6.0,19.0,6.0,1,6,0,1,0,0
2025-01-07,38.3197,9.0,1.0,5.0,36.0,11.0,2.0,10.0,1028.0,277.0,10.0,19.0,5.0,3.0,14.0,3.0,1,7,1,1,0,0
2025-01-08,38.1415,10.0,2.0,6.0,25.0,11.0,2.0,9.0,1027.0,242.0,10.0,57.0,6.0,4.0,14.0,4.0,1,8,2,1,0,0
2025-01-09,38.0516,6.0,1.0,3.0,39.0,10.0,1.0,17.0,1033.0,273.0,10.0,29.0,3.0,-0.0,24.0,-0.0,1,9,3,1,0,0
2025-01-10,38.635,6.0,-2.0,2.0,35.0,10.0,1.0,12.0,1037.0,255.0,10.0,23.0,2.0,-2.0,18.0,-2.0,1,10,4,1,0,0
2025-01-11,39.297,7.0,-1.0,3.0,27.0,4.0,1.0,7.0,1034.0,296.0,10.0,44.0,3.0,1.0,12.0,1.0,1,11,5,1,1,0
2025-01-12,38.9354,11.0,1.0,5.0,34.0,11.0,1.0,11.0,1029.0,241.0,10.0,13.0,5.0,2.0,18.0,2.0,1,12,6,1,1,0
2025-01-13,37.4076,12.0,2.0,6.0,47.0,7.0,2.0,8.0,1028.0,149.0,10.0,42.0,6.0,5.0,14.0,5.0,1,13,0,1,0,0
2025-01-14,38.3668,15.0,6.0,10.0,55.0,8.0,2.0,9.0,1026.0,112.0,10.0,54.0,10.0,9.0,14.0,9.0,1,14,1,1,0,0
2025-01-15,38.2153,7.0,0.0,4.0,36.0,11.0,2.0,16.0,1035.0,259.0,10.0,17.0,4.0,0.0,25.0,0.0,1,15,2,1,0,0
2025-01-16,38.1717,8.0,-2.0,3.0,28.0,9.0,1.0,6.0,1031.0,270.0,10.0,16.0,3.0,1.0,11.0,1.0,1,16,3,1,0,0
2025-01-17,38.605,10.0,-0.0,4.0,21.0,11.0,2.0,5.0,1029.0,228.0,10.0,10.0,4.0,3.0,10.0,3.0,1,17,4,1,0,0
2025-01-18,40.1969,11.0,2.0,6.0,52.0,11.0,3.0,9.0,1024.0,125.0,10.0,18.0,6.0,4.0,15.0,4.0,1,18,5,1,1,0
2025-01-19,40.0919,15.0,3.0,8.0,47.0,11.0,2.0,7.0,1019.0,222.0,10.0,12.0,8.0,8.0,12.0,8.0,1,19,6,1,1,0
2025-01-20,36.971,13.0,3.0,8.0,31.0,7.0,2.0,8.0,1020.0,160.0,10.0,35.0,8.0,7.0,13.0,7.0,1,20,0,1,0,0
2025-01-21,35.8176,13.0,2.0,8.0,48.0,9.0,2.0,10.0,1022.0,112.0,10.0,18.0,8.0,6.0,16.0,6.0,1,21,1,1,0,0
2025-01-22,35.9213,15.0,7.0,11.0,68.0,8.0,3.0,18.0,1021.0,132.0,10.0,40.0,11.0,9.0,25.0,9.0,1,22,2,1,0,0
2025-01-23,35.9377,18.0,9.0,12.0,72.0,6.0,3.0,8.0,1020.0,142.0,10.0,69.0,12.0,12.0,15.0,12.0,1,23,3,1,0,0
2025-01-24,36.1028,14.0,9.0,11.0,80.0,1.0,3.0,13.0,1022.0,56.0,10.0,94.0,11.0,10.0,19.0,10.0,1,24,4,1,0,0
2025-01-25,37.2265,11.0,9.0,10.0,61.0,1.0,2.0,15.0,1025.0,39.0,10.0,76.0,10.0,7.0,22.0,7.0,1,25,5,1,1,0
2025-01-26,40.5115,9.0,6.0,7.0,74.0,1.0,2.0,16.0,1027.0,289.0,8.0,94.0,7.0,4.0,22.0,4.0,1,26,6,1,1,0
2025-01-27,39.3564,6.0,1.0,4.0,32.0,11.0,2.0,21.0,1027.0,301.0,10.0,13.0,4.0,-1.0,30.0,-1.0,1,27,0,1,0,0
2025-01-28,38.1098,7.0,-1.0,3.0,25.0,11.0,2.0,15.0,1029.0,292.0,10.0,0.0,3.0,-1.0,23.0,-1.0,1,28,1,1,0,1
